date,commence_time,promotion,event_title,event_id,fighter_a,fighter_b,odds_a,odds_b,market_prob_a,market_books,market_spread,best_odds_a,best_book_a,best_odds_b,best_book_b,weightclass,five_rounds,odds_source,capture_promotion,fetched_at,leader_prob_a,leader_books,follower_prob_a,follower_books
2027-01-01,2027-01-01T03:00:00Z,,MMA,fa2d7e022c2c47e0855f04084d08f163,Tom Aspinall,Ciryl Gane,-115.0,-105.0,0.51083424,1,0.0,-115.0,BetOnline.ag,-105.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.51083424,1,,0
2027-01-01,2027-01-01T03:00:00Z,,MMA,8488c2a34f7093513d463d4b2730572e,Khamzat Chimaev,Paulo Henrique Costa,-500.0,375.0,0.79831933,1,0.0,-500.0,BetOnline.ag,375.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.79831933,1,,0
2027-01-01,2027-01-01T03:00:00Z,,MMA,e697d4df59aa825d85fa764db999757f,Sean Strickland,Khamzat Chimaev,175.0,-205.0,0.35107914,1,0.0,175.0,BetOnline.ag,-205.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.35107914,1,,0
2027-01-01,2027-01-01T03:00:00Z,,MMA,408347757571816aeae5ff71d1fd3849,Max Holloway,Paddy Pimblett,-180.0,155.0,0.62110961,1,0.0,-180.0,BetOnline.ag,155.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.62110961,1,,0
2027-01-01,2027-01-01T03:00:00Z,,MMA,ead94688d843f96aba0f1486ce663b61,Sean Strickland,Nassourdine Imavov,-106.0,-114.0,0.49133599,1,0.0,-106.0,BetOnline.ag,-114.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.49133599,1,,0
2027-04-25,2027-04-25T02:00:00Z,,MMA,a07b585e39e3bdba3b3d2692e0552524,Islam Makhachev,Carlos Prates,-250.0,207.0,0.68680089,1,0.0,-250.0,BetOnline.ag,207.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.68680089,1,,0
2027-04-25,2027-04-25T02:00:00Z,,MMA,5f889b13fd30ec2449fda285a1343314,Islam Makhachev,Michael Morales,-200.0,174.0,0.64622642,1,0.0,-200.0,BetOnline.ag,174.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.64622642,1,,0
2027-07-02,2027-07-02T02:00:00Z,,MMA,fcee675894f8285afc8daf0808198b74,Islam Makhachev,Kamaru Usman,-400.0,330.0,0.77477477,1,0.0,-400.0,BetOnline.ag,330.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.77477477,1,,0
2027-07-11,2027-07-11T00:00:00Z,,MMA,9f2a5922ae9758c3b18ad1a31ea88959,Paddy Pimblett,Conor McGregor,-160.0,140.0,0.59627329,1,0.0,-160.0,BetOnline.ag,140.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.59627329,1,,0
2027-08-01,2027-08-01T02:00:00Z,,MMA,51c1b5be2ac155f167f99a26ed20bf4d,Magomed Ankalaev,Carlos Ulberg,-180.0,157.0,0.6229464,1,0.0,-180.0,BetOnline.ag,157.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.6229464,1,,0
2027-08-01,2027-08-01T02:00:00Z,,MMA,0d48546636ab555d10e35fa641b41eb1,Magomed Ankalaev,Jiri Prochazka,-200.0,174.0,0.64622642,1,0.0,-200.0,BetOnline.ag,174.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-16T04:48:08Z,0.64622642,1,,0
